"organismo","organismo_descripcion","email_oficial","fuero","circunscripcion","localidad","categoria","tipo","materia","codigo_organismo"
"camcco0000gch","Cam Apelaciones Civ y Com","camcyc-gchu@jusentrerios.gov.ar","Civil y Comercial","Gualeguaychú","Gualeguaychú",NA,"cam","cco","guacamape"
"camcco0000uru","Cam Apelaciones Sala Civ y Com","salacyc-uru@jusentrerios.gov.ar","Civil y Comercial","Uruguay","Concepción del Uruguay",NA,"cam","cco","urucamcyc"
"camcco0100con","Cam Apelaciones Sala Civ y Com I","salacyc-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"cam","cco","consalaciv01"
"camcco0200con","Cam Apelaciones Sala Civ y Com II","salacycs2-con@jusentrerios.gov.ar","Civil y Comercial","Concordia","Concordia",NA,"cam","cco","consalaciv02"
"camcco0201pna","Cam Apelaciones II Sala I","camcycs1-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"cam","cco","parccs01"
"camcco0202pna","Cam Apelaciones II Sala II","camcycs2-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"cam","cco","parccs02"
"camcco0203pna","Cam Apelaciones II Sala III","camcycs3-pna@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"cam","cco","parcts02"
"camlab0000con","Cam Apelaciones Sala Laboral","salalab-con@jusentrerios.gov.ar","Laboral","Concordia","Concordia",NA,"cam","lab","consalalab"
"camlab0000gch","Cam Apelaciones Sala Laboral","camlab-gchu@jusentrerios.gov.ar","Laboral","Gualeguaychú","Gualeguaychú",NA,"cam","lab","guacamapelab"
"camlab0000uru","Cam Apelaciones Sala Laboral","salalab-uru@jusentrerios.gov.ar","Laboral","Uruguay","Concepción del Uruguay",NA,"cam","lab","urucamlab"
"camlab0301pna","Cam Apelaciones III Sala I","camlabs1-pna@jusentrerios.gov.ar","Laboral","Paraná","Paraná",NA,"cam","lab","parcts01"
"camlab0302pna","Cam Apelaciones III Sala II","camlabsala2-pna@jusentrerios.gov.ar","Laboral","Paraná","Paraná",NA,"cam","lab","parctrs02"
"campen0000pna","Cam de Casación Penal","camaracasacionpenal-pna@jusentrerios.gov.ar","Penal","Paraná","Paraná",NA,"cam","pen","parcamcasacion"
"cencco0000pna","Centro de Medios Alternativos Resolución de Conflictos","mediacion@jusentrerios.gov.ar","Civil y Comercial","Paraná","Paraná",NA,"cen","cco",NA
