id,codigo,jurisdiccion,localidad,nombre,pase_descripcion,tsal
60197dc541c1390007404716,pazalcapaz3,La Paz,Alcaraz,Juzgado de Paz de Alcaraz,,
60197dcb0cefd400099db70a,nogarapaz3,Nogoyá,Aranguren,Juzgado de Paz de Aranguren,,
60197ddfb3966400085e87ae,urubasopaz2,Uruguay,Basavilbaso,Juzgado de Paz de Basavilbaso,,
5e05e245a564b5000a7a5501,bovpaz,La Paz,Bovril,Juzgado de Paz de Bovril,PASE DIRECTO - BOVRIL JUZGADO DE PAZ .-,17&KJGIvzK
60197de7b3966400085e87bd,urucaspaz3,Uruguay,Caseros,Juzgado de Paz de Caseros,,
60197dbe41c139000740469f,ibiceipaz3,Islas del Ibicuy,Ceibas,Juzgado de Paz de Ceibas,,
60197dce41c1390007404748,parcerpaz2,Paraná,Cerrito,Juzgado de Paz de Cerrito,,
5d5701e4850c0000098b5326,chapaz01,Chajarí,Chajarí,Juzgado de Paz,PASE DIRECTO - CHAJARI JUZGADO DE PAZ .-,17&KJIr5fH
5d5702af850c0000098f23e3,chacyc01,Chajarí,Chajarí,Juzgado Civil y Comercial 1,PASE DIRECTO - CHAJARI JUZGADO CIVIL Y COMERCIAL N°1 .-,17&KJx6sc2
5d5835de850c0000095f129e,chacyc02,Chajarí,Chajarí,Juzgado Civil y Comercial 2,PASE DIRECTO - CHAJARI JUZGADO CIVIL Y COMERCIAL N°2 .-,17&KJ7Py1&
5d5836be850c000009655ff2,chagar01,Chajarí,Chajarí,Juzgado de Garantías,PASE DIRECTO - CHAJARI JUZGADO DE GARANTIAS .-,17&KJH&Dmz
5d583787850c0000096a1814,chafam01,Chajarí,Chajarí,Juzgado de Familia,PASE DIRECTO - CHAJARI JUZGADO DE FAMILIA Y PENAL DE MENORES .-,17&KJOBaiC
5e09e42da564b5000a896ac5,chaferia,Chajarí,Chajarí,Juzgado de Feria,PASE DIRECTO - CHAJARI FERIA JUDICIAL .-,17&KJGpxl3
5d570219850c0000098b6209,coltrab01,Colón,Colón,Juzgado Laboral 1,PASE DIRECTO - COLON JDO DEL TRABAJO N°1.-,17&KJXYg4l
5d5702e5850c00000991779c,colfam01,Colón,Colón,Juzgado de Familia y Penal de Niños y Adolescentes,PASE DIRECTO - COLON JDO FAMILIA Y PENAL DE NIÑOS Y ADOLECENTES .-,17&KJysiI6
5d583693850c0000096462b9,colcyc01,Colón,Colón,Juzgado Civil y Comercial 1,PASE DIRECTO - COLON JDO CIVIL Y COMERCIAL N°1 (COMP LABORAL) .-,17&KJr0JlY
5d583760850c000009697288,colcyc02,Colón,Colón,Juzgado Civil y Comercial 2,PASE DIRECTO - COLON JDO CIVIL Y COMERCIAL N°2 (COMP LABORAL) .-,17&KJOuFIz
5d583857850c0000096f2c2f,coltra01,Colón,Colón,Juzgado Instruccion 1,,
5d5839a9850c00000977c7df,colpaz01,Colón,Colón,Juzgado de Paz 1,PASE DIRECTO - COLON JDO DE PAZ .-,17&KJwKYj7
5e09e4b1a564b5000a897d51,colferia,Colón,Colón,Juzgado de Feria,PASE DIRECTO - COLON FERIA JUDICIAL .-,17&KJXpovV
5f2d6e12344b3b000bf4d662,colgar01,Colón,Colón,Juzgado de Garantías,PASE DIRECTO - COLON JDO DE GARANTIAS .-,17&KJ42l4d
5d570298850c0000098e07f6,urupaz01,Uruguay,Concepción del Uruguay,Juzgado de Paz,PASE DIRECTO - CONCEPCION DEL URUGUAY JUZGADO DE PAZ .-,17&KJaDmYj
5d5702a4850c0000098ea4f7,urusalpen,Uruguay,Concepción del Uruguay,Cámara Penal,PASE DIRECTO - CONCEPCION DEL URUGUAY CAMARA - SALA PENAL .-,17&KJRJ3ou
5d5702aa850c0000098efecf,urulab01,Uruguay,Concepción del Uruguay,Juzgado de Primera Instancia del Trabajo Nº1,PASE DIRECTO - CONCEPCION DEL URUGUAY JUZGADO DEL TRABAJO N°1 .-,17&KJOK4Ip
5d5702c7850c0000099030d3,uruciv01,Uruguay,Concepción del Uruguay,Juzgado Civil y Comercial 1,PASE DIRECTO - CONCEPCION DEL URUGUAY JUZGADO CIVIL y COMERCIAL N°1 .-,17&KJOZKIy
5d570323850c000009923dd3,uruciv02,Uruguay,Concepción del Uruguay,Juzgado Civil y Comercial 2,PASE DIRECTO - CONCEPCION DEL URUGUAY JUZGADO CIVIL y COMERCIAL N°2 .-,17&KJJGT6T
5d570324850c000009924252,urulabo02,Uruguay,Concepción del Uruguay,Juzgado de Primera Instancia del Trabajo Nº2,PASE DIRECTO - CONCEPCION DEL URUGUAY JUZGADO DEL TRABAJO N°2 .-,17&KJ&g4dD
5d570336850c00000992f4bd,uruoga,Uruguay,Concepción del Uruguay,Oficina de Gestión de Audiencias - OGA,PASE DIRECTO - CONCEPCION DEL URUGUAY OGA .-,17&KJMA8v&
5d57040a850c0000099ac847,urulabo03,Uruguay,Concepción del Uruguay,Juzgado de Primera Instancia del Trabajo Nº3,PASE DIRECTO - CONCEPCION DEL URUGUAY JUZGADO DEL TRABAJO N°3 .-,17&KJzwYZ8
5d570442850c0000099c5a98,uruciv03,Uruguay,Concepción del Uruguay,Juzgado Civil y Comercial 3,,
5d5705a3850c000009a82541,urufam01,Uruguay,Concepción del Uruguay,Juzgado de Familia y Penal de Niños y Adoloscentes Nº1,PASE DIRECTO - CONCEPCION DEL URUGUAY JDO DE FLIA Y PENAL DE NIÑOS Y ADOLESCENTES N°1 .-,17&KJptSmD
5d5817da850c0000090650dd,urufam02,Uruguay,Concepción del Uruguay,Juzgado de Familia y Penal de Niños y Adoloscentes Nº2,PASE DIRECTO - CONCEPCION DEL URUGUAY JDO DE FLIA Y PENAL DE NIÑOS Y ADOLESCENTES N°2 .-,17&KJPqjHS
5d5821ed850c0000092d7db7,urucamcyc,Uruguay,Concepción del Uruguay,Cámara Civil y Comercial,PASE DIRECTO - CONCEPCION DEL URUGUAY CAMARA - SALA CIVIL Y COMERCIAL .-,17&KJpK7nK
5d582457850c0000093351b5,urucamcon,Uruguay,Concepción del Uruguay,Cámara en lo Contencioso Administrativo Nº2,PASE DIRECTO - CONCEPCION DEL URUGUAY CAMARA EN LO CONTENCIOSO ADMINISTRATIVO .-,17&KJxYKsP
5d582a11850c0000094b8501,urucamlab,Uruguay,Concepción del Uruguay,Cámara Laboral,PASE DIRECTO - CONCEPCION DEL URUGUAY CAMARA DEL TRABAJO .-,17&KJ7PeTt
5e09e7bba564b5000a8ae8ed,uruferia,Uruguay,Concepción del Uruguay,Juzgado de Feria,PASE DIRECTO - CONCEPCION DEL URUGUAY FERIA JUDICIAL .-,17&KJBeygg
5d570220850c0000098b645f,concivil01,Concordia,Concordia,Juzgado Civil y Comercial 1,PASE DIRECTO - CONCORDIA JUZGADO CIVIL y COMERCIAL N°1 .-,17&KJKl6C2
5d570226850c0000098b6794,confam01,Concordia,Concordia,Juzgado Familia 1,PASE DIRECTO - CONCORDIA JDO FAMILIA Y PENAL DE NIÑOS Y ADOLECENTES N°1 .-,17&KJuYM9N
5d570228850c0000098b68cc,conpaz01,Concordia,Concordia,Juzgado de Paz,PASE DIRECTO - CONCORDIA JUZGADO DE PAZ .-,17&KJOFjce
5d5702f7850c00000991dca3,concivil02,Concordia,Concordia,Juzgado Civil y Comercial 2,PASE DIRECTO - CONCORDIA JUZGADO CIVIL y COMERCIAL N°2 .-,17&KJcRSb0
5d5702f7850c00000991dca4,confam02,Concordia,Concordia,Juzgado Familia 2,PASE DIRECTO - CONCORDIA JDO FAMILIA Y PENAL DE NIÑOS Y ADOLECENTES N°2 .-,17&KJkKirG
5d570314850c000009920674,consalapen,Concordia,Concordia,Cámara Penal,PASE DIRECTO - CONCORDIA CAMARA PENAL .-,17&KJEKVdO
5d57038c850c000009959102,consalaciv01,Concordia,Concordia,Cámara Civil Sala 1,PASE DIRECTO - CONCORDIA CAMARA CIVIL Y COMERCIAL SALA I .-,17&KJJD3jX
5d570415850c0000099b2671,consalaciv02,Concordia,Concordia,Cámara Civil Sala 2,PASE DIRECTO - CONCORDIA CAMARA CIVIL Y COMERCIAL SALA II .-,17&KJ5yQc8
5d57047b850c0000099e7a61,confam03,Concordia,Concordia,Juzgado Familia 3,PASE DIRECTO - CONCORDIA JDO FAMILIA Y PENAL DE NIÑOS Y ADOLECENTES N°3 .-,17&KJCzrV1
5d570532850c000009a46d4b,consalalab,Concordia,Concordia,Cámara Laboral,PASE DIRECTO - CONCORDIA CAMARA DEL TRABAJO .-,17&KJENNFx
